rank,ID,Level,Rate Score,KDA
1,매그,Lv. 269,4700,4.53 : 1
2,Garbee,Lv. 396,4684,3.21 : 1
3,MirroR,Lv. 705,4666,3.56 : 1
4,KàÿŽŽëŔ,Lv. 346,4665,2.92 : 1
5,즐겜유저이재곤,Lv. 1327,4659,4.13 : 1
6,함은상의계획,Lv. 1150,4647,3.82 : 1
7,KayZzeR,Lv. 1550,4642,2.88 : 1
8,Munchkin,Lv. 781,4639,3.59 : 1
9,smurf,Lv. 1685,4638,3.18 : 1
10,slur,Lv. 463,4629,2.69 : 1
11,트위치지훈햄찌,Lv. 891,4627,3.67 : 1
12,MBC,Lv. 1342,4611,4.96 : 1
13,브리기테장인민호,Lv. 1652,4610,3.71 : 1
14,Mag,Lv. 884,4609,3.96 : 1
15,HEESU,Lv. 356,4608,5.71 : 1
16,유니크,Lv. 74,4605,4.88 : 1
17,혁신,Lv. 1925,4603,4.75 : 1
18,논현동금수저,Lv. 275,4600,3.99 : 1
19,Stalk3r,Lv. 1337,4586,4.02 : 1
20,SYC,Lv. 617,4585,5.51 : 1
21,SaltShaker,Lv. 574,4585,3.45 : 1
22,어뷰충이싫어요,Lv. 977,4581,4.22 : 1
23,byrem,Lv. 1044,4578,3.27 : 1
24,Anomy,Lv. 1521,4574,3.83 : 1
25,aseurai,Lv. 781,4573,4.44 : 1
